date,kharid_dollar,foroosh_dollar,dollar_farda,nerkh_arz,sekke_tala,sarafi_online,tavvarom,entekhabat,eeteraaz,tahrim,barjam,enfejar,teror,hamle,jang
2025-08-01 09:55:00,0,0,0,0,0,0,0,0,0,49,0,0,0,33,70
2025-08-01 09:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56
2025-08-01 09:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,30,79
2025-08-01 09:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,26,70
2025-08-01 09:59:00,0,0,0,0,0,0,0,0,0,0,0,0,0,25,78
2025-08-01 10:00:00,0,0,0,89,0,0,61,46,0,0,0,0,0,0,76
2025-08-01 10:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,38,76
2025-08-01 10:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,26,79
2025-08-01 10:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46
2025-08-01 10:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49
2025-08-01 10:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2025-08-01 10:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,28,65
2025-08-01 10:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2025-08-01 10:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,27,57
2025-08-01 10:09:00,0,0,0,0,78,0,0,0,0,0,0,0,0,29,62
2025-08-01 10:10:00,0,0,0,0,0,0,44,0,0,0,0,0,0,22,58
2025-08-01 10:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,24,42
2025-08-01 10:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,24,83
2025-08-01 10:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32
2025-08-01 10:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2025-08-01 10:15:00,0,0,0,0,67,0,0,0,0,0,0,0,0,0,48
2025-08-01 10:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
2025-08-01 10:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,29,73
2025-08-01 10:18:00,0,0,0,0,0,0,0,0,0,0,24,0,0,23,48
2025-08-01 10:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,26,68
2025-08-01 10:20:00,0,0,0,0,0,0,56,0,0,0,0,0,0,39,75
2025-08-01 10:21:00,0,0,0,0,69,0,0,0,0,0,0,0,0,0,76
2025-08-01 10:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2025-08-01 10:23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,29,56
2025-08-01 10:24:00,0,0,0,0,0,0,0,0,0,0,0,25,0,0,68
2025-08-01 10:25:00,0,0,0,0,0,0,0,0,0,0,0,29,0,0,76
2025-08-01 10:26:00,0,0,0,0,0,0,0,0,0,0,0,0,0,26,57
2025-08-01 10:27:00,0,0,0,0,0,0,0,0,0,0,0,0,0,25,71
2025-08-01 10:28:00,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47
2025-08-01 10:29:00,0,0,0,0,100,0,0,0,0,0,0,0,0,0,45
2025-08-01 10:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,36,65
2025-08-01 10:31:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2025-08-01 10:32:00,0,0,0,74,0,0,0,0,0,0,0,0,0,0,44
2025-08-01 10:33:00,0,0,0,0,0,0,0,0,0,0,0,0,0,35,58
2025-08-01 10:34:00,0,0,0,0,0,0,0,0,0,0,0,0,0,29,63
2025-08-01 10:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,51
2025-08-01 10:36:00,0,0,0,0,0,0,0,0,0,0,0,23,0,32,65
2025-08-01 10:37:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2025-08-01 10:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2025-08-01 10:39:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2025-08-01 10:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,69
2025-08-01 10:41:00,0,0,0,90,0,0,0,0,0,0,0,0,0,27,76
2025-08-01 10:42:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
